C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
F1:1
FID1:1
FID2:1
FID3:1
FID4:1
G***:2
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
H7:1
J1:1
J2:1
J3:1
J4:1
J5:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
Q7:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:4
S1:1
S10:1
S11:1
S12:1
S13:1
S14:1
S15:1
S16:1
S17:1
S18:1
S19:1
S2:1
S20:1
S22:1
S23:1
S24:1
S25:1
S26:1
S3:1
S4:1
S5:1
S6:1
S7:1
S8:1
S9:1
TP1:1
TP10:1
TP11:1
TP12:1
TP13:1
TP14:1
TP15:1
TP16:1
TP17:1
TP18:1
TP19:1
TP2:1
TP20:1
TP21:1
TP22:1
TP23:1
TP3:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
TP9:1
U1:1
U10:1
U11:1
U12:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
kibuzzard-63D97EAF:1
kibuzzard-643EE46C:1
kibuzzard-643EE5B9:1
kibuzzard-643EE600:1
kibuzzard-643EE8B3:1
kibuzzard-644014FA:1
kibuzzard-64A91BF0:1
kibuzzard-64A91C1C:1
kibuzzard-64A91C24:1
